,TASK DONE
28.01.2025 (Tuesday),1. Introduced to my supervisor and team members. Learned about their roles and responsibilities.
,2. Overview of React.js to Next.js migration project. Discussed key differences and migration objectives.
,3. Worked on new task which was on Static.html changing  the Schemas and Canonical on hostinger for Connecting Dots ERP
,"4. Worked for Digital Marketing Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"5. Worked for Data-Science Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"6. Worked for Full Stack-Developer Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"7. Worked for Java Course Static.html Page , Changed its schema and edited the Canonical. (18-City)"
29.01.2025 (Wednesday),
,"1. Worked for Mern-Stack Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"2. Worked for HR.generalist Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"3. Worked for HR-Analytics Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"4. Worked for HR-Management Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"5. Worked for HR-Payroll Static.html Page , Changed its schema and edited the Canonical. (18-City)"
,"6. Worked for HR-Training Static.html Page , Changed its schema and edited the Canonical. (18-City)"
30.01.2025  (Thursday),
,
,
,
,
,
,
,
,
31.01.2025 (Friday),
,
,
,
,
,
01.01.2025  (Saturday),
,
,
,
,
03.02.2025 (Monday),
,1. Today Work on the Atorix IT Website.
,2. Editing the About Page of Atorix.
,3. Edited the 'How We Can Help' section of 'About' page.
,4. Edited the 'Our Partners' section of 'About' page.
,5. Enhanced overall and make some improvements in 'About' page.
04.02.2025 (Tuesday),
,1. Today Work on the Connecting Dots Website.
,2. Understand the folder and file structure of project.
,3. The BlogsPage file taken to make modifications.
,4. Also understanding backend of Project.
,
,
,
05.02.2025 (Wednesday),
,1. Today Worked on Blogs Page.
,2. Modified backend for the blogs Panel.
,3. Modified BlogsAdmin page to fetch and post blogs.
,4. Modified BlogsPage to fetch blogs.
,"5. In backend, fixed database connection."
,
06.02.2025 (Thursday),
,1. Created a titles For Different Keywords
,2. Created a Content According to title.
,3. Added hyperlinks to keywords within content
,4. Posted and Published a each Content on Different Websites.
,
,
,
,
07.02.2025(Friday),
,1. Today work on blogsPanel.js backend file for Blogs.
,2. Added Navigation btn in the Admin Login page for the blogs page.
,3. Enhanced design for the Blogs page.
,4. Enhanced design for the Blogs details page.
,5. Enhanced design for the Blogs admin page. 
,
08.02.2025(Saturday),
,1. All files related blogs are updated and uploaded to hostinger.
,2. Backend for blogs updated and also updated in hosting site render.com
,3. All issues are resolved for blogs page after hosting.
,4. Work on static files of pages in backend.
10.02.2025(Monday),
,1. Started migration of ConnectingDotsERP project from react.js to next.js
,2. Migrated Navbar component from react to next.
,3. Migrated Footer component.
,4. Migrated Few components of HomePage.
,
11.02.2025(Tuesday),
,1. Migrated PlacementSection component.
,2. Migrated OurStats component.
,3. Migrated Achievements component.
,4. Migrated FeedbackAndReviews component.
12.02.2025(Wednesday),
,1. Enhanced components in home page.
,2. Created routes for courses.
,3. Created slug file used for routing.
,4. Migrated some course components.
,
,
13.02.2025(thursday),1. Migrated the Why Course component.
,2. Migrated Course Description  Component.
,3. Migrated the Course Certificate Component.
,4. Enhanced the overall minor fixes in Course Components.
14.02.2025(Friday),
,1. Modified Carousel1 in HeaderCarousel component and also modified css for it.
,"2. Modified Carousel2 in HeaderCarousel component and also modified css for it."
,"3. Modified Carousel3 in HeaderCarousel component and also modified css for it."
,4. Modified Carousel4 in HeaderCarousel component and also modified css for it.
15.02.2025(Saturday),
,"1. Modified  HeaderCarousel and all issues related styling, alignment are resolved."
,2. Modified  Chevron component and make it mobile responsive.
,3. Modified  OurClients component and make it as expected.
,"4. Modified placement component and made it mobile responsive"
,5. Modified Achievements component for mobile view.
17.02.2025(Monday),
,1. Modified slug files to resolve rendering issue if courses components.
,2. Resolved issue related routes of courses.
,3. Deployed project on the versel for testing.
,4. Validated all goals related courses pages/components/routes after deployment.
18.02.2025(Tuesday),
,1. Added routes for all SAP courses and tested it.
,2. Added routes for all IT courses and tested it.
,3. Added routes for all Data Visualisation courses and tested it.
,"4. Added routes for all Data Marketing courses and tested it."
,"5. Added routes for all HR courses and tested it."
19.02.2025(Wednesday),
,1. Migrated blogs page code to next.js project. (In progress)
,2. Migrated blog detail page in next.js project. (In progress)
,3. Migrated blog admin page in next.js project. (In progress)
,4. Created routes for the blogs navigation.
,5. Developed various components for blogs page. (In progress)
20.02.2025(Thursday),
,"1. Updated backend for Blogs Page."
,"2. Modfified Blogs Page and also make it responsive."
,"3. Modified Blogs Detail Page and also make it responsive."
,"4. Added Category and Filter component for blogs categorisation."
,5. Added Breadcrumb for page navigation in blogs section.
21.02.2025(Friday),
,1. Modified Blogs Page.
,"2. Fixed stickyform problem and also make it responsive."
,3. Migrated Contact form and its css from react project to next project
,4. Modified Contact form and linked to popup courses.
,5. Worked on popup form.
22.02.2025(Saturday),
,"1. Modified css of Related course component and make it responsive."
,"2. Modified css of Keypoints component and make it responsive."
,"3. Modified css of FAQ component and make it responsive."
,"4. Modified css of Syllabus component and make it responsive."
,5. Modified css of Header carousel component and make it responsive (in progress).
24.02.2025(Monday),
,"1. Modified Header carousel component, made it responsive. "
,2. Modified Placement component and made it responsive.
,3. Modified Feedback and reviews component and made it responsive.
,4. Fixed some minor issues related to css in course components.
,5.  Fixed some minor issues related to css in chatbot components.
25.02.2025(Tuesday),
,1. Modifed Navbar component. (in progress)
,2. Modified Navlinks component and enhancing css for responsiveness. (in progress)
,
26.02.2025(Wednesday),
,1. Modified Navbar component and make it responsive.
,2. Modified all forms in the project.
,3. Tested all forms of the website.
,4. Fixes minor issues in the components.
,5. Fixed routes of some courses which are not rendering.
27.02.2025(Thursday),
,1. Fixed the hydration error of some components.
,2. Fixed the issue in page source code of courses.
,3. Enhanced the styling of popup form component.
,4. Enhanced the styling of footer component.
,5. Modified Keypoints component and make it responsive.
,
28.02.2025(Friday),"1. Redeployed project on the versel for testing."
,"2. Migrated Learning Path component from react.js project to next.js project."
,"3. Migrated Curriculum Accordion component from react.js project to next.js project."
,"4. Resolved some minor issues in course components."
,5. Modified some components in about us page.
01.03.2025(Saturday),
,1. Created sitemap file which handled sitemaps.
,2. Solved issue in page source of course components.
,3. Modified sidebar in About page.
,4. Modifed form in contact us page and connected with backend.
,5. Modifying and redesigning the feedback component in home page.
03.03.2025(Monday),
,1. Redesigned feedback and review component.
,"2. Modified and updated css for feedback and review component for responsiveness."
,"3. Enhanced the css of components in home page."
,4. Working on about page to redisign branches section.
,
04.03.2025(Tuesday),
,1. Redesigned Placement component in home page.
,2. Modified css of Placement component to make it responsive.
,3. Created a StickyScrollReveal component for about page.
,4. Modifying StickyScrollReveal component to make it better. (In progress)
05.03.2025(Wednesday),
,1. Enhanced layout of Placement component.
,2. Enhanced the design and layout of StickyScrollReveal component.
,3. Fixed some minor issues and bugs of the components.
,4. Redesign Branches component in the about page.
06.03.2025(Thursday),
,1. Redesigned Gallery component in about page and made it responsive.
,2. Modified ProgressBars component in about page and made it responsive.
,3. Redesigned why component in course page and made it responsive.
,4. Fixed some minor issues and bugs of the components.
,5. Modifying StickyScrollReveal component in about page and making it responsive. (In progress)
07.03.2025(Friday),
,1. Modified StickyScrollReveal component in about page and made it responsive.
